gene_symbol	z_score	raw_pvalue	rwr_score	rwr_rank	adj_pvalue_bh	significant
CRYBG3	0.2705255800079465	0.3933779701507068	2.14029896359633e-05	4408	0.9462365527300982	False
IFIT5	0.27046100010184876	0.3934028083178524	2.5066908014665e-05	4030	0.9462365527300982	False
GID4	0.269832426842574	0.39364458739659736	4.17009355621586e-05	2860	0.9462365527300982	False
SNX18	0.2696190973744409	0.39372665335059837	1.78652676060333e-05	4829	0.9462365527300982	False
NHLH2	0.2692557531865233	0.3938664395012893	9.44781374815851e-06	6215	0.9462365527300982	False
TSC22D4	0.2691061473099091	0.39392400000430094	6.20671221984403e-05	2129	0.9462365527300982	False
RARA	0.2690785804877773	0.3939346065260319	0.0002348355206525	664	0.9462365527300982	False
FAM161B	0.26848765608774244	0.3941619876026239	2.00542114963383e-06	8398	0.9462365527300982	False
OTX2	0.26758684816942113	0.3945086777724753	4.09830343988433e-06	7596	0.9462365527300982	False
NR1H4	0.26751129909637433	0.3945377578300465	3.72919451027107e-05	3111	0.9462365527300982	False
B4GALT5	0.2667991190172137	0.39481191629923545	2.22126079236833e-05	4312	0.9462365527300982	False
TNFSF9	0.26604000425178975	0.3951041999463902	3.86239160411193e-05	3035	0.9462365527300982	False
PARP9	0.26601584724512967	0.39511350214244306	1.08170233840958e-05	5924	0.9462365527300982	False
CDKAL1	0.2659968968857505	0.3951207994442748	7.00879339311323e-05	1932	0.9462365527300982	False
SLC7A3	0.2655766138731852	0.3952826492020998	1.09101886268455e-05	5907	0.9462365527300982	False
EDA2R	0.2652026873923506	0.3954266623832038	1.295810622045e-05	5547	0.9462365527300982	False
ADIPOR2	0.2650940816933967	0.395468493208545	6.3114363697955e-06	6956	0.9462365527300982	False
TRIM10	0.26495822295085464	0.39552082257552157	1.06113328212949e-05	5965	0.9462365527300982	False
LRP11	0.26468231879934107	0.3956270997042254	1.16427971680122e-05	5764	0.9462365527300982	False
PON3	0.2645246632151407	0.39568783146293485	1.11523508903379e-06	8844	0.9462365527300982	False
PON1	0.26452466321512186	0.3956878314629421	9.37879640663491e-06	6226	0.9462365527300982	False
GTF2H2C	0.2644229988778693	0.39572699573241704	1.8176242545081e-05	4790	0.9462365527300982	False
