Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
Reactome_2022,Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,7/27,3.365634772208301e-13,1.0568093184734063e-11,0,0,162.22093023255815,4658.983433079515,RAD51AP1;RAD51;RAD51C;XRCC2;XRCC3;BRCA2;PALB2,1,50
Reactome_2022,DNA Double-Strand Break Repair R-HSA-5693532,10/149,3.089391664220749e-12,8.083908188044294e-11,0,0,35.631294964028775,944.3378821387524,RNF168;RAD51AP1;RAD52;RAD51C;RAD51;XRCC2;XRCC3;BRCA2;SPIDR;PALB2,1,50
Reactome_2022,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,8/67,4.944295888991421e-12,1.1089349351023615e-10,0,0,64.21630347054077,1671.7293212443856,RAD51AP1;RAD51C;RAD51;XRCC2;XRCC3;BRCA2;SPIDR;PALB2,1,50
Reactome_2022,DNA Repair R-HSA-73894,12/310,1.1151629312747102e-11,2.0673913558372838e-10,0,0,20.825150123631225,525.1985303622624,RNF168;RAD51AP1;RAD52;RAD51C;RAD51;NTHL1;XRCC2;XRCC3;ERCC5;BRCA2;SPIDR;PALB2,1,50
Reactome_2022,Homologous DNA Pairing And Strand Exchange R-HSA-5693579,7/43,1.185128802709271e-11,2.0673913558372838e-10,0,0,90.05038759689923,2265.5402910159933,RAD51AP1;RAD51;RAD51C;XRCC2;XRCC3;BRCA2;PALB2,1,50
Reactome_2022,Impaired BRCA2 Binding To PALB2 R-HSA-9709603,6/24,2.326852454180505e-11,3.6531583530633935e-10,0,0,151.0,3697.071851544045,RAD51AP1;RAD51;RAD51C;XRCC2;BRCA2;PALB2,1,50
Reactome_2022,Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,6/25,3.0558916457961434e-11,4.361590803545405e-10,0,0,143.04545454545453,3463.3256555853736,RAD51AP1;RAD51;RAD51C;XRCC2;BRCA2;PALB2,1,50
Reactome_2022,Diseases Of DNA Repair R-HSA-9675135,7/51,4.194345703542488e-11,5.487602295468088e-10,0,0,73.64799154334038,1759.7965652643545,RAD51AP1;RAD51C;RAD51;NTHL1;XRCC2;BRCA2;PALB2,1,50
Reactome_2022,Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,6/41,7.528214146454407e-10,9.0917663153334e-09,0,0,77.5909090909091,1629.9672086342566,RAD51AP1;RAD51;RAD51C;XRCC2;BRCA2;PALB2,1,50
Reactome_2022,Meiotic Recombination R-HSA-912446,5/56,2.759038080443561e-07,3.09406413306885e-06,0,0,43.35294117647059,654.7687287629624,PSMC3IP;RAD51C;RAD51;MND1;BRCA2,1,50
