Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	17/1449	1.839054e-07	1.362049e-06	0	0	5.783611e+00	8.969713e+01	BARD1;BLM;CSTF2;BRCA1;MLH1;BRIP1;RAD50;FANCD2;CSTF1;RBBP8;NABP2;PMS2;ATM;TP53;ZNF597;ZNF200;ZNF398
Reactome_2022	Diseases Of Mismatch Repair (MMR) R-HSA-5423599	3/5	1.960029e-07	1.407657e-06	0	0	5.752788e+02	8.885260e+03	MSH6;PMS2;MLH1
Reactome_2022	Nonhomologous End-Joining (NHEJ) R-HSA-5693571	5/51	2.785235e-07	1.941472e-06	0	0	4.325870e+01	6.529365e+02	BARD1;RAD50;ATM;BRCA1;TP53BP1
Reactome_2022	Generic Transcription Pathway R-HSA-212436	14/1190	2.817233e-06	1.907669e-05	0	0	5.449768e+00	6.964670e+01	BARD1;BLM;BRCA1;MLH1;BRIP1;RAD50;FANCD2;RBBP8;PMS2;ATM;TP53;ZNF597;ZNF200;ZNF398
Reactome_2022	Mismatch Repair (MMR) Directed By MSH2:MSH6 (MutSalpha) R-HSA-5358565	3/14	7.010638e-06	4.615337e-05	0	0	1.045490e+02	1.240796e+03	MSH6;PMS2;MLH1
Reactome_2022	Mismatch Repair R-HSA-5358508	3/15	8.746245e-06	5.602325e-05	0	0	9.583173e+01	1.116141e+03	MSH6;PMS2;MLH1
Reactome_2022	DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	4/61	2.377241e-05	1.482648e-04	0	0	2.736567e+01	2.913619e+02	RAD50;ATM;TERF2;TP53
Reactome_2022	Cellular Senescence R-HSA-2559583	5/165	8.965867e-05	5.448488e-04	0	0	1.236562e+01	1.152415e+02	CDKN2D;RAD50;ATM;TERF2;TP53
Reactome_2022	Sensing Of DNA Double Strand Breaks R-HSA-5693548	2/6	1.105913e-04	6.552534e-04	0	0	1.881226e+02	1.713735e+03	RAD50;ATM
Reactome_2022	CDC6 Association With ORC:origin Complex R-HSA-68689	2/8	2.057099e-04	1.189104e-03	0	0	1.254025e+02	1.064547e+03	ORC4;MCM8
